,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16415,N1,Excelsior,Heerenveen,1.0,2.0,A,3.3,3.6,2.05,5,5,5.0,10.0,8.75,6.25,0,4,5.0,10.0,0.0,1.0,3,3,0.0,12.5,0.0,10.0
16416,D1,RB Leipzig,Schalke 04,2.0,1.0,H,2.0,3.3,4.0,13,13,15.0,10.0,5.0,2.0,12,7,15.0,13.0,1.0,1.0,6,7,10.0,3.0,13.0,12.0
16417,E0,Tottenham,West Ham,3.0,1.0,H,1.67,3.75,5.5,13,13,7.0,7.0,13.0,4.0,0,3,3.0,8.0,0.0,1.0,7,6,7.0,4.0,7.0,10.0
16418,F1,Lille,Sochaux,3.0,2.0,H,1.61,3.5,6.25,22,23,8.0,6.0,4.0,5.0,8,1,11.0,8.0,1.0,1.0,12,12,9.0,5.0,11.0,11.0
16419,E0,Aston Villa,Newcastle,1.0,0.0,H,2.3,3.4,3.1,38,38,5.0,3.0,6.0,6.0,1,0,6.0,4.0,1.0,0.0,19,19,8.0,2.0,6.0,4.0
16420,I1,Lazio,Empoli,4.0,0.0,H,1.45,4.2,7.5,30,30,14.0,5.0,1.0,5.0,7,0,15.0,6.0,1.0,0.0,15,15,11.0,3.0,12.0,8.0
16421,I1,Roma,Verona,3.0,0.0,H,1.17,7.5,17.0,3,4,5.0,1.6666666666666667,7.5,13.333333333333334,0,0,7.5,1.6666666666666667,0.0,0.0,2,2,5.0,0.0,0.0,0.0
16422,E0,Everton,Wigan,2.0,1.0,H,1.44,4.5,7.0,19,19,7.0,3.0,5.0,10.0,6,0,9.0,1.0,1.0,0.0,9,9,8.0,3.0,9.0,7.0
16423,N1,Ajax,Nijmegen,3.0,0.0,H,1.17,7.0,15.0,17,17,15.0,8.0,6.0,12.0,0,0,9.0,2.0,0.0,0.0,8,9,23.0,7.0,15.0,2.0
16424,SP1,Sociedad,La Coruna,1.0,1.0,D,1.75,3.5,4.75,19,19,11.0,3.0,8.0,11.0,0,1,8.0,4.0,0.0,1.0,10,10,7.0,5.0,8.0,7.0
16425,N1,Zwolle,Groningen,2.0,0.0,H,2.0,3.3,3.75,12,12,8.0,5.0,9.0,7.0,0,3,5.0,8.0,0.0,1.0,6,7,13.0,2.0,13.0,11.0
